央视频道,#genre#
CCTV1 综合,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225812/index.m3u8
CCTV2 财经,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225923/index.m3u8
CCTV3 综艺,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV4 中文国际,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225802/index.m3u8
CCTV5 体育,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV5+ 体育赛事,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225821/index.m3u8
CCTV6 电影,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV7 国防军事,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225805/index.m3u8
CCTV7 国防军事,http://120.238.94.10:9901/tsfile/live/1025_1.m3u8
CCTV7 国防军事,http://drive.mxmy.net:8888/udp/239.3.1.61:8104
CCTV8 电视剧,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV8 电视剧,http://58.17.48.228:808/hls/8/index.m3u8
CCTV9 纪录,http://58.57.40.22:9901/tsfile/live/1009_1.m3u8
CCTV9 纪录,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225820/index.m3u8
CCTV9 纪录,http://58.19.43.46:9901/tsfile/live/1028_1.m3u8
CCTV9 纪录,http://120.238.94.10:9901/tsfile/live/1027_1.m3u8
CCTV10 科教,http://58.57.40.22:9901/tsfile/live/1010_1.m3u8
CCTV10 科教,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225814/index.m3u8
CCTV10 科教,http://58.17.48.228:808/hls/10/index.m3u8
CCTV11 戏曲,http://58.57.40.22:9901/tsfile/live/1011_1.m3u8
CCTV11 戏曲,http://fjcm-2117.live.iptv.darwinchow.com/PLTV/88888888/224/3221225815/index.m3u8
CCTV11 戏曲,http://60.29.124.66:6080/hls/22/index.m3u8
CCTV11 戏曲,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV12 社会与法,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225816/index.m3u8
CCTV12 社会与法,http://222.169.85.8:9901/tsfile/live/0012_1.m3u8
CCTV13 新闻,http://58.57.40.22:9901/tsfile/live/1013_1.m3u8
CCTV13 新闻,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225817/index.m3u8
